Pos,Num,Player Name,Status,TCKL,SCK,FF,INT,Team
DB,25,"King, Akeem",ACT,--,--,--,--,ATL
DB,36,"King, Brandon",ACT,10,0,0,--,NE
DB,36,"King, Desmond",ACT,--,--,--,--,LAC
CB,20,"King, Kevin",ACT,--,--,--,--,GB
CB,27,"Kirkpatrick, Dre",ACT,46,0,0,3,CIN
CB,6,"Lampkin, Ashton",ACT,--,--,--,--,KC
CB,20,"Lane, Jeremy",ACT,49,0,0,--,SEA
CB,27,"Langley, Brendan",ACT,--,--,--,--,DEN
CB,34,"Lattimore, Marshon",ACT,--,--,--,--,NO
DB,46,"Lawrence, Des",ACT,--,--,--,--,DET
CB,24,"Lawson, Nevin",ACT,57,0,0,--,DET
CB,22,"LeBlanc, Cre'von",ACT,44,0,0,2,CHI
CB,41,"Levine, Anthony",ACT,11,0,0,--,BAL
CB,27,"Lewis, Jourdan",ACT,--,--,--,--,DAL
FS,23,"Lewis, Kendrick",UFA,6,0,1,--,BAL
DB,35,"Lewis, Ryan",ACT,--,--,--,--,ARI
DB,39,"Lewis-Harris, Chris",ACT,5,0,0,1,DEN
DB,33,"Likely, William",ACT,--,--,--,--,NE
CB,36,"Lippett, Tony",ACT,67,0,0,4,MIA
FS,20,"Lowery, Dwight",ACT,60,0,1,1,LAC
SAF,26,"Luani, Shalom",ACT,--,--,--,--,OAK
SS,21,"Lucas, Jordan",ACT,2,0,0,--,MIA
CB,32,"Luke, Cole",ACT,--,--,--,--,CAR
CB,26,"Mabin, Greg",ACT,--,--,--,--,BUF
CB,29,"Mager, Craig",ACT,31,0,0,1,LAC
DB,,"Magloire, Paul",RES,--,--,--,--,TB
FS,42,"Maragos, Chris",ACT,11,0,0,--,PHI
FS,29,"Marlowe, Dean",ACT,0,--,--,--,CAR
SS,42,"Martin, Ronald",ACT,1,0,0,--,NYJ
FS,32,"Mathieu, Tyrann",ACT,35,1,1,1,ARI
DB,41,"Mauger, Quincy",ACT,--,--,--,--,ATL
CB,37,"Maulet, Arthur",ACT,--,--,--,--,NO
CB,41,"Maxwell, Byron",ACT,53,0,4,2,MIA
SAF,26,"Maye, Marcus",ACT,--,--,--,--,NYJ
CB,28,"McCain, Bobby",ACT,45,1,1,1,MIA
CB,23,"McCain, Brice",ACT,38,0,0,2,TEN
DB,36,"McClain, Robert",ACT,39,0.5,0,0,TB
SS,23,"McCoil, Dexter",ACT,25,0,0,1,LAC
FS,32,"McCourty, Devin",ACT,83,0,1,1,NE
DB,35,"McCourty, Jason",ACT,69,0,0,2,CLE
DB,39,"McCray, Demetrius",ACT,--,--,--,--,SEA
DB,23,"McCray, L.J.",ACT,--,--,--,--,CAR
SS,33,"McCray, Kelcie",UFA,39,0,0,--,SEA
DB,30,"McDonald, Adrian",ACT,--,--,--,--,LAC
CB,23,"McDonald, Dexter",ACT,1,0,0,--,OAK
DB,22,"McDonald, T.J.",ACT,64,1,0,2,MIA
DB,30,"McDougald, Bradley",ACT,91,0,0,2,SEA
CB,23,"McDougle, Dexter",ACT,1,0,0,--,NYJ
DB,23,"McFadden, Leon",ACT,8,0,0,--,DAL
SS,39,"McGill, Keith",ACT,22,0,0,--,OAK
CB,21,"McKelvin, Leodis",UFA,43,0,0,2,PHI
DB,37,"McKinnon, Jeremiah",ACT,--,--,--,--,DAL
FS,23,"McLeod, Rodney",ACT,83,1,1,3,PHI
CB,27,"McManis, Sherrick",ACT,16,0,0,--,CHI
SAF,34,"McQuay, Leon III",ACT,--,--,--,--,KC
CB,29,"McRae, Tony",ACT,--,--,--,--,CIN
DB,5,"McTyer, Torry",ACT,--,--,--,--,MIA
DB,28,"McWilson, Marcus",ACT,--,--,--,--,OAK
DB,36,"Meeks, Jonathan",UFA,16,0,0,--,BUF
SAF,20,"Melifonwu, Obi",ACT,--,--,--,--,OAK
CB,30,"Melvin, Rashaan",ACT,60,0,2,--,IND
DB,36,"Middleton, Doug",ACT,6,0,0,--,NYJ
FS,45,"Miles, Rontez",ACT,57,0,2,--,NYJ
FS,34,"Miller, Harlan",ACT,7,0,0,1,ARI
DB,41,"Milligan, Rolan",ACT,--,--,--,--,DET
CB,31,"Mills, Jalen",ACT,61,0,0,--,PHI
DB,40,"Milton, Chris",ACT,9,0,0,--,IND
CB,28,"Mitchel, Tevin",ACT,--,--,--,--,IND
FS,23,"Mitchell, Mike",ACT,77,0,0,1,PIT
DB,39,"Mitchell, Terrance",ACT,19,0,0,--,KC
SS,43,"Moore, Corey",ACT,32,0,0,--,HOU
DB,48,"Moore, Jordan",ACT,--,--,--,--,ATL
CB,42,"Moore, Kenny",ACT,--,--,--,--,NE
DB,,"Moore, Rahim",UFA,--,--,--,--,NYG
CB,24,"Moore, Sterling",ACT,56,0,0,2,NO
CB,31,"Moreau, Fabian",ACT,--,--,--,--,WAS
DB,35,"Morris, Darryl",ACT,35,0,0,1,IND
CB,41,"Moxey, Jonathan",ACT,--,--,--,--,TB
DB,41,"Munnerlyn, Captain",ACT,55,0,1,--,CAR
DB,36,"Murphy, Ryan",ACT,--,--,--,--,NYG
CB,21,"Murray, Eric",ACT,8,0,0,--,KC
DB,33,"Murray, Najee",ACT,--,--,--,--,CLE
CB,31,"Myrick, Jalen",ACT,--,--,--,--,JAX
DB,43,"Nacua, Kai",ACT,--,--,--,--,CLE
SS,22,"Neal, Keanu",ACT,106,0,5,--,ATL
DB,20,"Neasman, Sharrod",ACT,3,0,0,--,ATL
DB,46,"Nelson, Dontrell",ACT,--,--,--,--,DEN
CB,30,"Nelson, J.R.",ACT,--,--,--,--,KC
FS,27,"Nelson, Reggie",ACT,65,0,0,5,OAK
DB,21,"Nelson, Robert",ACT,20,0,0,1,HOU
CB,20,"Nelson, Steven",ACT,65,0,0,--,KC
CB,23,"Newman, Terence",ACT,38,0,0,1,MIN
SAF,34,"Nicholson, Montae",ACT,--,--,--,--,WAS
CB,43,"Nixon, Taurean",ACT,1,0,0,--,JAX
CB,24,"Norman, Josh",ACT,67,0,2,3,WAS
CB,30,"Olatoye, Deji",ACT,4,0,0,--,ATL
FS,38,"Parker, Ron",ACT,61,0,2,1,KC
DB,34,"Parks, Will",ACT,22,0,0,1,DEN
DB,37,"Patmon, Tyler",ACT,--,--,--,--,JAX
CB,34,"Penton, Aarion",ACT,--,--,--,--,LA
CB,22,"Peters, Marcus",ACT,45,0,1,6,KC
CB,47,"Peterson, Kevin",ACT,--,--,--,--,LA
CB,21,"Peterson, Patrick",ACT,51,0,0,3,ARI
SS,31,"Phillips, Adrian",ACT,38,0,0,1,LAC
DB,35,"Phillips, Dashaun",ACT,9,0,0,--,WAS
CB,41,"Pipkins, Lenzy",ACT,--,--,--,--,GB
DB,40,"Pitts, Lafayette",ACT,3,0,0,--,MIA
DB,35,"Pleasant, Eddie",ACT,20,0,0,--,HOU
CB,34,"Poole, Brian",ACT,59,1,0,1,ATL
CB,21,"Porter, Tracy",UFA,48,0,1,2,CHI
DB,43,"Powell, Joe",ACT,--,--,--,--,BUF
DB,45,"Powell, Tyvis",ACT,3,0,0,--,IND
DB,26,"Powers, Jerraud",UFA,33,1,0,2,BAL
FS,21,"Poyer, Jordan",ACT,39,0,0,--,BUF
CB,24,"Price, Jabari",ACT,--,--,--,--,MIN
CB,27,"Price, Sheldon",ACT,0,--,--,--,BAL
DB,46,"Pringle, Raysean",ACT,--,--,--,--,GB
SS,31,"Prosinski, Chris",ACT,25,0,0,--,CHI
DB,25,"Pryor, Calvin",ACT,62,0,1,--,CLE
FS,27,"Quin, Glover",ACT,68,0,1,2,DET
FS,30,"Rambo, Bacarri",UFA,42,0,0,1,MIA
CB,20,"Ramsey, Jalen",ACT,65,0,1,2,JAX
CB,23,"Randall, Damarious",ACT,39,0,0,3,GB
CB,27,"Reaser, Keith",ACT,26,0,2,--,SF
CB,23,"Redmond, Will",ACT,--,--,--,--,SF
DB,24,"Reed, Kalan",ACT,3,0,0,--,TEN
CB,38,"Reed, Trovon",ACT,14,0,0,2,LAC
FS,35,"Reid, Eric",ACT,62,0,1,1,SF
DB,35,"Reid, Ryan",ACT,--,--,--,--,LAC
CB,24,"Revis, Darrelle",UFA,53,0,0,1,NYJ
FS,39,"Reynolds, Ed",ACT,43,1,0,--,CLE
CB,43,"Reynolds, Rashaad",ACT,--,--,--,--,CHI
DB,38,"Reynolds, Taylor",ACT,--,--,--,--,ATL
CB,29,"Rhodes, Xavier",ACT,52,0,1,5,MIN
SAF,22,"Rice, Denzel",ACT,9,0,0,--,HOU
DB,39,"Richards, Jeff",ACT,--,--,--,--,CAR
SS,37,"Richards, Jordan",ACT,3,0,0,--,NE
CB,38,"Richardson, Horace",ACT,--,--,--,--,MIN
CB,31,"Riggs, Cody",ACT,0,--,--,--,TB
CB,35,"Riley, Curtis",ACT,0,--,--,--,TEN
CB,38,"Rios, Marcus",ACT,--,--,--,--,DEN
DB,38,"Roberson, Marcus",ACT,2,0,0,--,HOU
DB,36,"Roberson, Tre",ACT,--,--,--,--,MIN
CB,27,"Roberts, Darryl",ACT,21,0,0,--,NYJ
DB,23,"Robey-Coleman, Nickell",ACT,35,0,1,2,LA
CB,34,"Robinson, Ezra",ACT,--,--,--,--,JAX
DB,26,"Robinson, Josh",ACT,11,0,0,--,TB
DB,21,"Robinson, Patrick",ACT,26,0,1,--,PHI
CB,33,"Robinson, Rashard",ACT,28,0,0,1,SF
DB,48,"Robinson, Trey",ACT,--,--,--,--,NYG
CB,29,"Roby, Bradley",ACT,39,1,1,2,DEN
CB,41,"Rodgers-Cromartie, Dominique",ACT,49,1,1,6,NYG
DB,37,"Rolle, Jumal",ACT,--,--,--,--,ARI
CB,24,"Rollins, Quinten",ACT,41,0,0,1,GB
CB,25,"Rowe, Eric",ACT,26,0,0,1,NE
CB,20,"Russell, KeiVarae",ACT,1,0,0,1,CIN
DB,26,"Ryan, Logan",ACT,92,1,1,2,TEN
SS,23,"Sample, James",ACT,--,--,--,--,JAX
CB,31,"Sanchez, Zack",ACT,9,0,0,--,CAR
DB,47,"Sanders, B.T.",ACT,--,--,--,--,BUF
SS,33,"Sanford, Jamarca",UFA,--,--,--,--,NO
CB,45,"Sayles, Marcus",ACT,--,--,--,--,BUF
CB,32,"Scandrick, Orlando",ACT,46,2,3,1,DAL
DB,29,"Seamster, Sammy",ACT,--,--,--,--,DAL
SS,21,"Searcy, Da'Norris",ACT,40,0,0,1,TEN
SS,34,"Sendejo, Andrew",ACT,69,0.5,0,2,MIN
DB,24,"Sensabaugh, Coty",ACT,25,0,1,0,PIT
CB,29,"Seymour, Kevon",ACT,22,0,0,--,BUF
DB,49,"Shabazz, Al-Hajj",ACT,1,0,0,0,BAL
CB,26,"Shaw, Josh",ACT,56,0,0,1,CIN
CB,35,"Shead, DeShawn",ACT,81,0,1,1,SEA
CB,23,"Shelton, Sojourn",ACT,--,--,--,--,ARI
CB,35,"Sherels, Marcus",ACT,4,0,0,--,MIN
CB,25,"Sherman, Richard",ACT,58,0,0,4,SEA
CB,37,"Shields, Sam",UFA,3,0,0,--,GB
DB,28,"Showers, Jameill",ACT,--,--,--,--,DAL
SS,31,"Simmons, Justin",ACT,30,1,0,2,DEN
CB,,"Simon, Tharold",UFA,6,0,0,0,WAS
DB,37,"Simone, Jordan",ACT,--,--,--,--,SEA
CB,36,"Sims, LeShaun",ACT,22,0,0,1,TEN
DB,37,"Sinkfield, Terrell",ACT,--,--,--,--,MIN
CB,41,"Skrine, Buster",ACT,47,1,0,1,NYJ
CB,23,"Slay, Darius",ACT,44,1,1,2,DET
CB,37,"Smith, C.J.",ACT,1,0,0,--,PHI
CB,20,"Smith, D'Joun",ACT,0,--,--,--,TEN
FS,31,"Smith, Derron",ACT,8,0,0,--,CIN
FS,22,"Smith, Harrison",ACT,91,2,0,--,MIN
CB,22,"Smith, Jimmy",ACT,32,0,0,--,BAL
CB,36,"Smith, Malik",ACT,--,--,--,--,HOU
DB,2,"Smith, Maurice",ACT,--,--,--,--,MIA
CB,29,"Smith, Ryan",ACT,1,0,0,--,TB
CB,21,"Smith, Sean",ACT,40,0,0,2,OAK
CB,33,"Smith, Tye",ACT,--,--,--,--,TEN
DB,25,"Smithson, Fish",ACT,--,--,--,--,WAS
DB,49,"Sorensen, Daniel",ACT,63,1,2,3,KC
DB,37,"Southward, Dezmen",ACT,--,--,--,--,CAR
DB,30,"Stafford, Daimion",ACT,52,1,0,1,PIT
DB,40,"Sterns, Jordan",ACT,--,--,--,--,KC
CB,39,"Stewart, Brandon",ACT,--,--,--,--,LAC
FS,26,"Stewart, Darian",ACT,68,0,1,3,DEN
DB,36,"Stewart, Orion",ACT,--,--,--,--,DEN
CB,38,"Stribling, Channing",ACT,--,--,--,--,CLE
DB,25,"Stuckey, Darrell",ACT,11,0,0,--,LAC
DB,49,"Sullivan, Tre",ACT,--,--,--,--,PHI
DB,40,"Sunseri, Vinnie",ACT,6,0,0,--,SF
CB,20,"Sutton, Cam",ACT,--,--,--,--,PIT
CB,27,"Swann, Damian",ACT,--,--,--,--,NO
FS,36,"Swearinger, D.J.",ACT,66,2,0,3,WAS
DB,41,"Sylve, Bradley",ACT,--,--,--,--,BUF
CB,30,"Tabor, Teez",ACT,--,--,--,--,DET
CB,21,"Talib, Aqib",ACT,43,0,0,3,DEN
SS,37,"Tandy, Keith",ACT,57,0,0,4,TB
CB,30,"Tankersley, Cordrea",ACT,--,--,--,--,MIA
FS,29,"Tartt, Jaquiski",ACT,61,1,0,--,SF
DB,37,"Taylor, Aaron",ACT,--,--,--,--,GB
CB,21,"Taylor, Jamar",ACT,57,0,0,3,CLE
DB,23,"Terrell, Steven",ACT,27,0,0,--,KC
FS,35,"Therezie, Robenson",ACT,3,0,0,0,NO
DB,27,"Thomas, Dwayne",ACT,--,--,--,--,NE
DB,35,"Thomas, Dymonte",ACT,--,--,--,--,DEN
FS,29,"Thomas, Earl",ACT,48,0,0,2,SEA
DB,26,"Thomas, Josh",UFA,--,--,--,--,DAL
FS,31,"Thomas, Michael",ACT,58,1,2,--,MIA
DB,26,"Thomas, Duke",ACT,--,--,--,--,DAL
DB,25,"Thomas, Shamarko",ACT,7,0,0,--,NYJ
FS,27,"Thompson, Darian",ACT,7,0,0,--,NYG
DB,26,"Thompson, Jason",ACT,--,--,--,--,NE
DB,22,"Thompson, Mykkele",ACT,1,0,0,--,NYG
DB,25,"Thompson, Peyton",ACT,14,0,0,--,JAX
FS,33,"Thompson, Tedric",ACT,--,--,--,--,SEA
CB,47,"Thornton, Josh",ACT,--,--,--,--,DET
DB,23,"Thorpe, Neiko",ACT,19,0,0,--,SEA
CB,39,"Tocho, Jack",ACT,--,--,--,--,MIN
DB,20,"Toler, Greg",UFA,18,0,0,--,WAS
DB,45,"Travis, Damarius",ACT,--,--,--,--,NE
DB,41,"Trawick, Brynden",ACT,24,0,0,1,TEN
DB,,"Tribune, Nigel",ACT,--,--,--,--,NYG
CB,21,"Trufant, Desmond",ACT,31,2,2,1,ATL
SAF,40,"Tyson, Mike",ACT,--,--,--,--,SEA
SS,32,"Vaccaro, Kenny",ACT,68,1,2,2,NO
CB,21,"Verner, Alterraun",UFA,16,0,0,1,TB
CB,22,"Verrett, Jason",ACT,13,0,0,1,LAC
DB,,"Virgin, Dee",ACT,--,--,--,--,HOU
CB,31,"Wade, Trevin",UFA,26,0,0,--,NYG
CB,25,"Ward, Jimmie",ACT,53,1,1,1,SF
SS,43,"Ward, T.J.",ACT,87,1,3,1,DEN
DB,45,"Washington, Charles",ACT,--,--,--,--,DET
DB,49,"Washington, Deron",ACT,--,--,--,--,ATL
CB,26,"Waters, Herb",ACT,--,--,--,--,GB
DB,26,"Watkins, Jaylen",ACT,32,0,0,--,PHI
CB,4,"Watson, Brad",ACT,--,--,--,--,LAC
CB,26,"Waynes, Trae",ACT,50,0,0,3,MIN
FS,21,"Webb, Lardarius",ACT,73,1,0,1,BAL
DB,39,"Webb, Terrish",ACT,--,--,--,--,PIT
DB,30,"Webb, B.W.",ACT,28,0,0,1,CHI
DB,21,"Webster, Kayvon",ACT,8,0,0,--,LA
SS,32,"Weddle, Eric",ACT,89,1,1,4,BAL
DB,39,"White, Corey",ACT,30,0,0,2,NYJ
CB,24,"White, D.J.",ACT,11,0,0,1,KC
CB,39,"White, Marquez",ACT,--,--,--,--,DAL
DB,41,"White, Mitchell",ACT,--,--,--,--,PHI
CB,27,"White, Tre'Davious",ACT,--,--,--,--,BUF
FS,35,"Whitehead, Jermaine",ACT,0,--,--,--,GB
SS,39,"Whitner, Donte",UFA,66,0,1,--,WAS
DB,27,"Wilcox, J.J.",ACT,49,0,1,1,TB
SS,23,"Williams, Aaron",UFA,20,0,0,--,BUF
CB,26,"Williams, Brandon",ACT,26,0,0,--,ARI
DB,24,"Williams, K'Waun",ACT,--,--,--,--,SF
CB,25,"Williams, P.J.",ACT,7,0,0,--,NO
SAF,43,"Williams, Marcus",ACT,--,--,--,--,NO
CB,20,"Williams, Marcus",ACT,33,1,1,2,NYJ
SS,31,"Williams, Duke",UFA,4,0,0,0,IND
SS,36,"Williams, Shawn",ACT,81,1,0,3,CIN
DB,21,"Williams, Teddy",ACT,6,0,0,1,CAR
CB,22,"Williams, Tramon",UFA,36,0,0,1,CLE
CB,42,"Williams, Trevor",ACT,31,0,0,--,LAC
DB,36,"Williamson, Andrew",ACT,--,--,--,--,IND
DB,40,"Wilson, Brandon",ACT,--,--,--,--,CIN
CB,35,"Wilson, Howard",ACT,--,--,--,--,CLE
DB,47,"Wilson, Jarrod",ACT,8,0,0,--,JAX
DB,24,"Wilson, Kyle",UFA,--,--,--,--,NO
CB,31,"Wilson, Quincy",ACT,--,--,--,--,IND
SS,32,"Wilson, Tavon",ACT,89,1,0,2,DET
CB,30,"Wiltz, Jomal",ACT,--,--,--,--,PHI
CB,41,"Witherspoon, Ahkello",ACT,--,--,--,--,SF
DB,32,"Wolff, Earl",ACT,--,--,--,--,WAS
SAF,25,"Woods, Xavier",ACT,--,--,--,--,DAL
CB,26,"Worley, Daryl",ACT,88,1,0,1,CAR
DB,33,"Wreh-Wilson, Blidi",ACT,0,--,--,--,ATL
DB,20,"Wright, Shareece",ACT,52,0,0,--,BUF
CB,38,"Young, Lou",ACT,1,0,0,--,WAS
CB,25,"Young, Tavon",ACT,53,0,0,2,BAL
CB,29,"Zamort, Ronald",ACT,--,--,--,--,ARI
