Pos,Num,Player Name,Status,TDS,INT,YDS,RTG,Team
QB,10,"Allen, Brandon",ACT,--,--,--,0,JAX
QB,3,"Anderson, Derek",ACT,2,5,453,67.6,CAR
QB,7,"Barkley, Matt",ACT,8,14,"1,611",68.3,SF
QB,3,"Beathard, C.J.",ACT,--,--,--,--,SF
QB,6,"Bercovici, Mike",ACT,--,--,--,--,LAC
QB,5,"Bortles, Blake",ACT,23,16,"3,905",78.8,JAX
QB,2,"Boykin, Trevone",ACT,1,1,145,91.2,SEA
QB,8,"Bradford, Sam",ACT,20,5,"3,877",99.3,MIN
QB,12,"Brady, Tom",ACT,28,2,"3,554",112.2,NE
QB,9,"Bray, Tyler",ACT,--,--,--,0,KC
QB,9,"Brees, Drew",ACT,37,15,"5,208",101.7,NO
QB,5,"Bridgewater, Teddy",ACT,--,--,--,--,MIN
QB,7,"Brissett, Jacoby",ACT,0,0,400,83.9,NE
QB,6,"Callahan, Joe",ACT,0,0,0,0,GB
QB,4,"Carr, Derek",ACT,28,6,"3,937",96.7,OAK
QB,16,"Cassel, Matt",ACT,2,2,284,71,TEN
QB,10,"Clemens, Kellen",ACT,0,0,0,39.6,LAC
QB,18,"Cook, Connor",ACT,1,1,150,83.4,OAK
QB,8,"Cousins, Kirk",ACT,25,12,"4,917",97.2,WAS
QB,6,"Cutler, Jay",UFA,4,5,"1,059",78.1,CHI
QB,14,"Dalton, Andy",ACT,18,8,"4,206",91.8,CIN
QB,10,"Daniel, Chase",ACT,0,0,16,118.8,NO
QB,6,"Davis, Austin",ACT,--,--,--,0,SEA
QB,5,"Dobbs, Joshua",ACT,--,--,--,--,PIT
QB,6,"Doughty, Brandon",ACT,--,--,--,0,MIA
QB,6,"Driskel, Jeff",ACT,--,--,--,0,CIN
QB,3,"Dysert, Zac",ACT,--,--,--,0,DAL
QB,9,"Fales, David",ACT,0,0,22,53.8,MIA
QB,5,"Ferguson, Tyler",ACT,--,--,--,--,TEN
QB,14,"Fitzpatrick, Ryan",ACT,12,17,"2,710",69.6,TB
QB,5,"Flacco, Joe",ACT,20,15,"4,317",83.5,BAL
QB,9,"Foles, Nick",ACT,3,0,410,105.9,PHI
QB,7,"Gabbert, Blaine",ACT,5,6,925,68.4,ARI
QB,10,"Garoppolo, Jimmy",ACT,4,0,502,113.3,NE
QB,4,"Gilbert, Garrett",ACT,--,--,--,--,CAR
QB,8,"Glennon, Mike",ACT,1,0,75,125.4,CHI
QB,16,"Goff, Jared",ACT,5,7,"1,089",63.6,LA
QB,18,"Grayson, Garrett",ACT,--,--,--,--,NO
QB,4,"Griffin, Ryan",ACT,--,--,--,0,TB
QB,10,"Griffin III, Robert",UFA,2,3,886,72.5,CLE
QB,5,"Hackenberg, Christian",ACT,--,--,--,0,NYJ
QB,6,"Heinicke, Taylor",ACT,--,--,--,0,MIN
QB,7,"Henne, Chad",ACT,--,--,--,0,JAX
QB,13,"Hill, Shaun",UFA,0,0,242,76.1,MIN
QB,8,"Hill, Taysom",ACT,--,--,--,--,GB
QB,8,"Hogan, Kevin",ACT,0,2,104,31.6,CLE
QB,8,"Houston, Bart",ACT,--,--,--,--,PIT
QB,2,"Hoyer, Brian",ACT,6,0,"1,445",98,SF
QB,7,"Hundley, Brett",ACT,0,1,17,0,GB
QB,5,"Jenkins, Eli",ACT,--,--,--,--,LAC
QB,8,"Johnson, Josh",ACT,--,--,--,0,NYG
QB,7,"Jones, Cardale",ACT,0,1,96,46,BUF
QB,3,"Jones, Landry",ACT,4,2,558,86.3,PIT
QB,8,"Kaaya, Brad",ACT,--,--,--,--,DET
QB,7,"Kaepernick, Colin",UFA,16,4,"2,241",90.7,SF
QB,7,"Keenum, Case",ACT,9,11,"2,201",76.4,MIN
QB,6,"Kelly, Chad",ACT,--,--,--,--,DEN
QB,6,"Kessler, Cody",ACT,6,2,"1,380",92.3,CLE
QB,7,"Kizer, DeShone",ACT,--,--,--,--,CLE
QB,1,"Knight, Trevor",ACT,--,--,--,--,ARI
QB,9,"Lewis, Thad",UFA,--,--,--,--,SF
QB,8,"Liufau, Sefo",ACT,--,--,--,--,TB
QB,12,"Luck, Andrew",ACT,31,13,"4,240",96.4,IND
QB,3,"Lunt, Wes",ACT,--,--,--,--,MIN
QB,12,"Lynch, Paxton",ACT,2,1,497,79.2,DEN
QB,15,"Mahomes, Patrick",ACT,--,--,--,--,KC
QB,15,"Mallett, Ryan",ACT,0,1,26,22.2,BAL
QB,10,"Manning, Eli",ACT,26,16,"4,027",86,NYG
QB,14,"Mannion, Sean",ACT,0,1,19,17.4,LA
QB,3,"Manuel, EJ",ACT,0,0,131,58.3,OAK
QB,8,"Mariota, Marcus",ACT,26,9,"3,426",95.6,TEN
QB,5,"McCarron, AJ",ACT,--,--,--,0,CIN
QB,15,"McCown, Josh",ACT,6,6,"1,100",72.3,NYJ
QB,7,"McCown, Luke",UFA,--,--,--,0,NO
QB,12,"McCoy, Colt",ACT,--,--,--,0,WAS
QB,3,"McGloin, Matt",ACT,0,0,50,60.4,PHI
QB,17,"Moore, Kellen",ACT,--,--,--,--,DAL
QB,8,"Moore, Matt",ACT,8,3,721,105.6,MIA
QB,7,"Morris, Stephen",ACT,--,--,--,0,IND
QB,1,"Mullens, Nick",ACT,--,--,--,--,SF
QB,2,"Nassib, Ryan",ACT,--,--,--,0,NO
QB,1,"Newton, Cam",ACT,19,14,"3,509",75.8,CAR
QB,8,"Orlovsky, Dan",UFA,--,--,--,0,DET
QB,17,"Osweiler, Brock",ACT,15,16,"2,957",72.2,CLE
QB,3,"Palmer, Carson",ACT,26,14,"4,233",87.2,ARI
QB,2,"Peterman, Nathan",ACT,--,--,--,--,BUF
QB,9,"Petty, Bryce",ACT,3,7,809,60,NYJ
QB,15,"Ponder, Christian",UFA,--,--,--,0,SF
QB,4,"Prescott, Dak",ACT,23,4,"3,667",104.9,DAL
QB,17,"Rivers, Philip",ACT,33,21,"4,386",87.9,LAC
QB,12,"Rodgers, Aaron",ACT,40,7,"4,428",104.2,GB
QB,7,"Roethlisberger, Ben",ACT,29,13,"3,819",95.4,PIT
QB,14,"Rudock, Jake",ACT,--,--,--,0,DET
QB,7,"Rush, Cooper",ACT,--,--,--,--,DAL
QB,2,"Ryan, Matt",ACT,38,7,"4,944",117.1,ATL
QB,6,"Sanchez, Mark",ACT,0,2,93,30.3,CHI
QB,3,"Savage, Tom",ACT,0,0,461,80.9,HOU
QB,8,"Schaub, Matt",ACT,0,0,16,52.1,ATL
QB,9,"Shaw, Connor",ACT,--,--,--,--,CHI
QB,13,"Siemian, Trevor",ACT,18,10,"3,401",84.6,DEN
QB,4,"Simms, Matt",ACT,--,--,--,--,ATL
QB,1,"Sloter, Kyle",ACT,--,--,--,--,DEN
QB,11,"Smith, Alex",ACT,15,8,"3,502",91.2,KC
QB,3,"Smith, Geno",ACT,1,1,126,81.2,NYG
QB,9,"Stafford, Matthew",ACT,24,10,"4,327",93.3,DET
QB,5,"Stanton, Drew",ACT,2,3,192,39.6,ARI
QB,8,"Stave, Joel",ACT,--,--,--,--,KC
QB,2,"Sudfeld, Nate",ACT,--,--,--,0,WAS
QB,17,"Tannehill, Ryan",ACT,19,12,"2,995",93.5,MIA
QB,11,"Tanney, Alex",ACT,--,--,--,0,TEN
QB,5,"Taylor, Tyrod",ACT,17,6,"3,023",89.7,BUF
QB,16,"Tolzien, Scott",ACT,1,2,216,64.7,IND
QB,4,"Torgersen, Alek",ACT,--,--,--,--,ATL
QB,10,"Trubisky, Mitchell",ACT,--,--,--,--,CHI
QB,2,"Vaughan, Dustin",ACT,--,--,--,--,BAL
QB,8,"Walker, Phillip",ACT,--,--,--,--,IND
QB,4,"Watson, Deshaun",ACT,--,--,--,--,HOU
QB,5,"Webb, Davis",ACT,--,--,--,--,NYG
QB,14,"Webb, Joe",ACT,--,--,--,0,CAR
QB,5,"Weeden, Brandon",ACT,--,--,--,0,HOU
QB,11,"Wentz, Carson",ACT,16,14,"3,782",79.3,PHI
QB,3,"Wilson, Russell",ACT,21,11,"4,219",92.6,SEA
QB,3,"Winston, Jameis",ACT,28,18,"4,090",86.1,TB
QB,9,"Yates, T.J.",ACT,--,--,--,0,BUF
